所属类别,对应三方回复,zh,en,tl
提现,,当前时间段为系统结算时间，您的订单已退回，请零点后再次提交,"Hi! Just a heads-up — the system is currently in settlement mode, and your withdrawal was automatically returned.
Kindly resubmit the request after 12:00 AM. Thank you for your understanding!","Hi! Paalala lang po — nasa settlement period ngayon ang system kaya ang inyong withdrawal ay awtomatikong naibalik.
Maaari po itong muling isumite pagkatapos ng alas-12:00 ng hatinggabi. Salamat sa inyong pang-unawa!"
提现,,正在处理中，已加急,"Hello! Your withdrawal is already being processed with priority. 🚀
We’ve marked it as urgent and will update you once we receive confirmation. Thank you for waiting!","Hello! Na-prioritize na po ang inyong withdrawal request. 🚀
Naka-mark ito bilang urgent at agad naming ipapaabot ang update kapag may kumpirmasyon na. Salamat po sa inyong paghihintay!"
提现,,该笔款项已到账，祝您游戏愉快,"Good news! Your withdrawal has been successfully credited. 🟢
Please check your account to confirm. Enjoy your game!","Good news! Matagumpay nang na-credit ang inyong withdrawal. 🟢
Paki-check na lamang po ang inyong account. Enjoy sa paglalaro!"
提现,,这边查询您的订单已处理成功，请问有收到这笔款项吗？,"Hi! Our records show that your withdrawal has been successfully processed.
May we kindly confirm if the funds have already arrived in your account?","Hi! Ayon sa aming records, matagumpay nang naiproseso ang inyong withdrawal.
Maari po ba naming malaman kung natanggap niyo na ang pondo sa inyong account?"
提现,,第三方已成功处理你的订单，祝您游戏愉快,"Hi! We’ve checked with the third-party provider, and they’ve confirmed that your withdrawal has been completed.
Please verify your account. Let us know if you need further help!","Hi! Nakapag-follow up na po kami sa third-party provider at kinumpirma nilang naiproseso na ang inyong withdrawal.
Paki-check na lamang po ang inyong account. Sabihin lang po kung may iba pa kayong concern."
提现,提现处理中,保持耐心请等待,"Hi! 👋 Thank you for reaching out.
We’ve checked your request, and the withdrawal is currently in process with our third-party provider. ⏳

We kindly ask for your patience while the transaction is being completed. Should there be any updates, we will notify you right away. 🙏","Hello! Na-check na namin ang status ng iyong withdrawal, at matagumpay na itong naiproseso ng aming third-party provider. ✅

Paki-check ang iyong pinagpadalhang account. Kung hindi mo pa rin natatanggap ang pondo, mangyaring ipaalam sa amin upang matulungan ka namin agad."
提现,已出款成功,出款成功，请重新检查账户,"Hello! We’ve checked the status of your withdrawal, and it has been successfully processed by our third-party provider. ✅

Please check your receiving account. If you haven't received the funds, kindly let us know so we can assist further.","Hello! Na-check na namin ang status ng iyong withdrawal, at matagumpay na itong naiproseso ng aming third-party provider. ✅

Paki-check ang iyong pinagpadalhang account. Kung hindi mo pa rin natatanggap ang pondo, mangyaring ipaalam sa amin upang matulungan ka namin agad."
提现,重新提交提现申请,请重新提交申请,"Hello! 🙋
We’re sorry for the inconvenience. Kindly resubmit your withdrawal request, as the previous one could not be processed successfully.

Let us know once done so we can follow up promptly.","Hello! 🙋 Paumanhin sa abala. Paki-resubmit po ng inyong withdrawal request dahil hindi ito matagumpay na naproseso.
Paki-inform kami kapag nagawa na upang agad naming ma-follow up."
提现,等待第三方支付,您的提现正在等待第三方处理,"Hello! 👋 We’ve confirmed that your withdrawal is awaiting third-party processing. ⏳

Processing time may vary, and we kindly ask you to allow some time for the provider to complete the payout. We'll update you once we receive confirmation. Thank you for your patience!","Hello! 👋 Nakumpirma namin na ang iyong withdrawal ay naghihintay pa ng pagproseso mula sa third-party. ⏳
Ang oras ng pagproseso ay maaaring magbago-bago, kaya hinihiling naming maghintay muna habang tinatapos ng provider ang payout. Iu-update ka namin agad kapag may kumpirmasyon na. Salamat sa iyong pasensya!"
提现,客户收款卡已限额,您的收款银行卡存在故障，建议您使用另一张银行卡并提交新的提现请求,"Hi! The payout failed because your receiving card has reached its daily/monthly limit. 💳

We suggest using another bank card and submitting a new withdrawal request. Let us know if you need help updating your details."," Hi! Hindi naproseso ang payout dahil naabot na ng iyong card ang arawang/buwanang limit. 💳
Inirerekomenda naming gumamit ng ibang bank card at magsumite muli ng panibagong withdrawal request. Sabihin lang kung kailangan mo ng tulong sa pag-update ng detalye."
提现,客户收款卡号错误,您的收款银行卡存在故障，建议您使用另一张银行卡并提交新的提现请求,"Hello! Upon review, the card number you provided appears to be incorrect. ❌

Please check and update your card information, then submit a new withdrawal request so we can process it properly. 🙏","Hello! Sa aming pagsusuri, mukhang mali ang card number na iyong ibinigay. ❌
Pakisuri at i-update ang impormasyon ng iyong card, pagkatapos ay magsumite ng bagong withdrawal request para maiproseso ito nang tama. 🙏"
提现,客户收款银行维护,您的收款银行卡存在故障，建议您使用另一张银行卡并提交新的提现请求,"Hi! We’ve been informed that your receiving bank is currently under system maintenance. 🛠️

This may cause delays in payout. We recommend waiting until the maintenance is over or using a different bank card for faster processing.","Hi! Naabisuhan kami na kasalukuyang may system maintenance ang iyong bangko. 🛠️
Maaaring magdulot ito ng delay sa payout. Mas mainam na maghintay hanggang matapos ang maintenance o gumamit ng ibang bank card para sa mas mabilis na pagproseso."
提现,修改客户收款卡,您的收款银行卡存在故障，建议您使用另一张银行卡并提交新的提现请求,"Hello! To proceed, please modify your receiving card information in your account settings and resubmit your withdrawal request. 🖊️

Let us know once updated so we can follow up accordingly.","Hello! Para makapagpatuloy, pakibago ang impormasyon ng iyong receiving card sa iyong account settings at muling magsumite ng withdrawal request. 🖊️
Ipaalam sa amin kapag na-update na ito para ma-follow up namin agad."
提现,客户卡号异常,您的收款银行卡存在故障，建议您使用另一张银行卡并提交新的提现请求,"Hi! The card number you submitted is showing as abnormal or flagged by our third-party provider. 🚫

Please use a different card or contact your bank for verification, then resubmit your withdrawal request.","Hi! Ang card number na iyong isinumite ay lumalabas na may isyu o na-flag ng aming third-party provider. 🚫
Mangyaring gumamit ng ibang card o makipag-ugnayan sa iyong bangko para sa beripikasyon, pagkatapos ay magsumite muli ng withdrawal request."
提现,请日切后重新提交订单,请于次日银行营业时间内再次尝试提交您的提款请求,"Hello! The order was submitted after the daily processing cutoff time. 🕒

Please try submitting your withdrawal request again the next day during banking hours. We’ll make sure it’s processed properly.","Hello! Ang iyong withdrawal ay naisumite lampas na sa cut-off time para sa araw na ito. 🕒
Pakisubukang magsumite muli ng request kinabukasan sa loob ng banking hours. Sisiguraduhin naming maayos itong maproseso."
提现,订单款项已回冲,您的订单已处理，但打款失败，您可以提交新的取款申请,"Hi! The third-party provider was unable to process your request, and the funds have been refunded to your account. 💰

Please feel free to submit a new withdrawal request anytime. Let us know if you need help!"," Hi! Hindi naproseso ng third-party provider ang iyong request, at na-refund na ang pondo sa iyong account. 💰
Maaari kang magsumite muli ng bagong withdrawal request anumang oras. Sabihin lang kung kailangan mo ng tulong!"
提现,订单已重新出款,您的取款已重新处理并准备支付，收到三方信息会通知您,"Hello! Good news — your withdrawal order has been reprocessed for payout. 🟢

We will update you once we receive confirmation from the third-party provider. Thank you for your continued patience!","Hello! Good news — na-reprocess na ang iyong withdrawal order para sa payout. 🟢
Ipapaalam namin agad sa iyo kapag may kumpirmasyon na mula sa third-party provider. Maraming salamat sa iyong patuloy na pasensya!"
